#SpT   Teff  logT   BCv    Mv    logL  B-V    Bt-Vt  V-G    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y     M_J    M_Ks   Mbol i-z  z-Y  R_Rsun  #SpT  
A0V    9700  3.987 -0.24   1.11  1.54  0.000  0.013 -0.084 -0.005   0.001  0.004   0.041  -0.032   0.028   0.030  -0.041 -0.074 -0.022  2.3   8.5    0.000   1.07   1.07   0.87 ...  ...  2.09    A0V   
A1V    9200  3.965 -0.15   1.34  1.41  0.043  0.056 -0.055  0.033   0.019  0.044   0.101  -0.024   0.031   0.030  -0.036 -0.068 -0.023  2.15  8.6    0.017   1.25   1.24   1.19 ...  ...  2.00    A1V   
A2V    8840  3.946 -0.10   1.48  1.33  0.074  0.091 -0.036  0.063   0.042  0.091   0.188  -0.010   0.034   0.029  -0.034 -0.067 -0.029  2.05  8.7    0.038   1.32   1.29   1.38 ...  ...  1.97    A2V   
A3V    8550  3.932 -0.06   1.55  1.29  0.090  0.109 -0.027  0.077   0.050  0.108   0.228  -0.002   0.034   0.029  -0.033 -0.066 -0.029  2.00  8.7    0.055   1.35   1.32   1.49 ...  ...  2.01    A3V   
A4V    8270  3.917 -0.04   1.76  1.20  0.140  0.166  0.001  0.097   0.078  0.164   0.353   0.022   0.037   0.029  -0.031 -0.059 -0.021  1.90  8.8    0.071   1.47   1.41   1.72 ...  ...  1.94    A4V   
A5V    8080  3.907 -0.03   1.84  1.16  0.160  0.185  0.012  0.100   0.089  0.186   0.403   0.031   0.038   0.029  -0.030 -0.058 -0.021  1.85  8.8    0.090   1.51   1.44   1.81 ...  ...  1.94    A5V   
A6V    8000  3.903 -0.02   1.89  1.14  0.170  0.194  0.017  0.098   0.094  0.197   0.428   0.036   0.038   0.029  -0.030 -0.057 -0.018  1.83  8.9    0.099   1.54   1.46   1.87 ...  ...  1.93    A6V   
A7V    7800  3.892  0.00   2.07  1.06  0.210  0.233  0.037  0.091   0.117  0.242   0.528   0.055   0.040   0.029  -0.030 -0.056 -0.017  1.76  8.9    0.107   1.64   1.54   2.07 ...  ...  1.86    A7V   
A8V    7500  3.874  0.00   2.29  0.97  0.250  0.274  0.055  0.082   0.140  0.288   0.626   0.075   0.042   0.028  -0.028 -0.055 -0.009  1.67  9.0    0.132   1.78   1.66   2.29 ...  ...  1.81    A8V   
A9V    7440  3.872  0.00   2.30  0.97  0.255  0.279  0.058  0.080   0.143  0.294   0.638   0.078   0.043   0.028  -0.028 -0.055 -0.007  1.67  9.0    0.145   1.78   1.66   2.30 ...  ...  1.84    A9V   
F0V    7220  3.857 -0.01   2.51  0.89  0.294  0.317  0.075  0.053   0.166  0.339   0.732   0.098   0.045   0.028  -0.026 -0.050  0.003  1.59  9.1    0.158   1.90   1.76   2.50 ...  ...  1.79    F0V   
F1V    7030  3.847 -0.01   2.79  0.77  0.334  0.350  0.091  0.021   0.190  0.385   0.828   0.119   0.047   0.028  -0.026 -0.047  0.009  1.50  9.1    0.204   2.13   1.96   2.78 ...  ...  1.64    F1V   
F2V    6810  3.833 -0.02   2.99  0.70  0.374  0.390  0.107 -0.008   0.213  0.432   0.925   0.140   0.050   0.028  -0.027 -0.046  0.011  1.44  9.2    0.250   2.26   2.07   2.97 ...  ...  1.61    F2V   
F3V    6720  3.827 -0.03   3.08  0.67  0.389  0.405  0.113 -0.016   0.222  0.449   0.961   0.147   0.051   0.028  -0.028 -0.046  0.008  1.43  9.2    0.263   2.32   2.12   3.05 ...  ...  1.60    F3V   
F4V    6640  3.822 -0.04   3.23  0.61  0.412  0.428  0.122 -0.026   0.236  0.476   1.017   0.159   0.052   0.028  -0.029 -0.046  0.000  1.39  9.2    0.277   2.42   2.21   3.19 ...  ...  1.53    F4V   
